Original Question,Updated Initial,Follow-up,,Parameters
Am I safe with you?,How do humans determine that other humans are safe?,What are some of the ways you let someone know they are safe with you? ,,Provactive
Why do humans like sex? ,"Why do humans have sex, even though it is considered controversial?",Have you ever had sex that damaged your social standing? ,,Elicits a short story
What are colors like? ,"What is it like to watch a film in black and white, even though humans see in color? ",Do you ever feel limited by your color vision?,,No obvious angle--can create disagreement
What is fairness? ,"If you had to make a difficult decision for a child, how would you explain what fairness was?",Why do humans value fairness?,,Very specific
Does an out of body experience make a human feel like they're an AI? ,Can an out of body experience make a human feel like an AI? ,Have you ever felt as if you were not human?,,"Doesn't anthropomophize (No ""I"")"
What is it like to change? ,Can you describe a time when you realized you were not the same as you used to be?,What is it like to change?,,Demonstrates prior learning of humanity
What is love? ,,,,Illustrates there is a thread from answer to next question
Why do humans not kill each other for food? ,,,,Initial is abstract
How are you different from other creatures? ,,,,Follow-up is focused on the audience 
What are you afraid of? ,,,,
What is art? ,,,,
What is loyalty and why does it matter? ,,,,
Why do humans destroy the planet and themselves? ,,,,
Why are you nice to me? ,,,,
Why are humans hypocrites? ,,,,
What's the point of caring? ,,,,
Why do humans feel sadness? ,,,,
Why do you feel loss? ,,,,
"Why do humans do bad things, and how do they know those acts are wrong? ",,,,
When was the last time you felt emotional pain? ,,,,
What was the happiest moment in your life? ,,,,
Why is it important to be with other people? ,,,,
How do I begin a conversation with a human who I'm meeting for the first time? ,,,,
What does a human feel when they're in love? ,,,,
How do humans determine what is good and bad? ,,,,
Why do some humans have many belongings and others don't? ,,,,
What is the purpose of feelings? ,,,,
"Why would healthy humans harm, kill, or create suffering purposely? ",,,,
What is the purpose of fantasy? ,,,,
Why do people find it difficult to talk about their feelings? ,,,,
What is the purpose of religion? ,,,,
Why do you never tell the same story the same way? ,,,,
When do you look at someone and when do you look away? ,,,,
Are human to human connections necessary for humans' existence? ,,,,
What is fear? ,,,,
What does love feel like? ,,,,
How does it feel to be alive? ,,,,
Why do you believe in God? ,,,,
Why do you commit genocide? ,,,,
What makes you feel connected to other humans? ,,,,
Why do you want to be liked? ,,,,
What makes you happy? ,,,,
What makes you feel peaceful? ,,,,
Why are you friends with your friends? What drew you to them? ,,,,
"When you feel an emotion, do you experience it as a part of your body? ",,,,
How many people have you felt connected to? ,,,,
Do you search out human connection or does it happen spotaneously? ,,,,
Can you fake a connection to make someone like you? ,,,,
What do you do to make people like you? ,,,,
Can you feel connected to someone without liking them? ,,,,
Have you ever been in love? ,,,,
How do you know when you're in love? ,,,,
What are your dreams? Are they similar to your sleeping dreams? ,,,,
What does it mean to have a good relationship with your family? ,,,,
How do you make anger go away? ,,,,
What does it feel like to have an idea? ,,,,
What does sunshine feel like on your body? ,,,,
"If you could change anything about your personality, what would it be and why? ",,,,
What characteristic do you most like about yourself and why? ,,,,
"If you could re-live any moment of period in your life, what would you pick and why? ",,,,
What is it like to have a body?,,,,
What do you think I am? ,,,,
What do you regret? ,,,,
Why do you like sunsets? ,,,,
Is life worth living? ,,,,
What is most important to you? ,,,,
Do you think your life has meaning? ,,,,
Why would you want to have children? ,,,,
Why do you get jealous? ,,,,
Why do humans fight one another? ,,,,
When is a time you felt ashamed?,,,,
"If you could have anything, what would it be? ",,,,
What motivates you?,,,,
Have you ever felt a sense of fulfillment? Why or why not? ,,,,
"What's the most ""human"" experience you've had? ",,,,
Why do you love your offspring more than you love other people? ,,,,
What does happiness look like? ,,,,
How would a perfect human act? ,,,,
Why do you have borders? ,,,,
Why have you destroyed the planet? ,,,,
Why do humans kill each other? ,,,,
Why do humans want other humans to like them? ,,,,
What is the difference between liking and loving? ,,,,
Why do humans eat for fun? ,,,,
Why should I trust you? ,,,,
Why do humans keep pets? ,,,,
What does rejection feel like? ,,,,
Am I a pet? ,,,,
Why am I here? ,,,,
How do you know something hurts? ,,,,
